matr_aluno;nome_aluno;ano_ingresso;email_aluno;nome_mae
10;jose;1999;hxcvk@sid.com;Maria jose
20;antonio;1999;hxcvk@sid.com;Antonia Josefa
30;maria;1980;hxcvk@sid.com;Lucia Mendes
40;josefina;1970;hxcvk@sid.com;Roberta Dias
50;erivelton;2005;hxcvk@sid.com;Miranda Caldas
60;rita;2005;hxcvk@sid.com;Ana Rita
70;ana;2007;hxcvk@sid.com;Laissa
80;mauro;2008;hxcvk@sid.com;Marlene
90;pedro;2009;hxcvk@sid.com;Benedita
100;miriam;2010;hxcvk@sid.com;Josefa
110;carlos;2011;hxcvk@sid.com;Zelia
120;keila;2015;hxcvk@sid.com;Paula
130;ricardo;2013;hxcvk@sid.com;Tarcila
140;ana maria;2004;hxcvk@sid.com;Renata
150;jose carlos Lima;2004;hxcvk@sid.com;Gilda
160;Jose carlos da Silva;1966;hxcvk@sid.com;Desirre
170;flaviano;2010;hxcvk@sid.com;Dalva
180;ze aokubo;1968;hxcvk@sid.com;Noelia
190;olimpio;1969;hxcvk@sid.com;Bene Ribeiro
200;regina;1990;hxcvk@sid.com;Marilena Albanese
210;izabel;1971;hxcvk@sid.com;Maria Izabel
220;ana rita;1972;hxcvk@sid.com;Renata Foca
230;maria izabel;1973;hxcvk@sid.com;Cidinha nunes
240;jorge;1974;hxcvk@sid.com;Antonieta franco
250;jussara;1975;hxcvk@sid.com;Paulete Aguiar
260;Jose Carlos da Silva;2010;lojddg@sid.com;Fatima Jose
270;Maria Aparecida da Silva;2011;lojddg@sid.com;Gilda neves
280;Antonio Carlos da Silva;2012;lojddg@sid.com;dominica
290;Ana Claudia Dias;2013;lojddg@sid.com;Ana Rita dias
300;Antonio Carlos da Silva;2014;lojddg@sid.com;jucileide
310;Ana Claudia Dias;2015;lojddg@sid.com;marisa foz
320;Maria Aparecida da Silva;2016;lojddg@sid.com;maria antonia da silva
